42° 53′ N,8° 46′ W
19° 18' S,158° 54' W
21° 26' S,170° 40' W
21° 29' S,174° 40' W
21° 3' S,174° 40' W
21° 20' 30" S
22° 26' S,175° 59' W
41° 30' S,26° 51' E
42° 27' S
48° 23' S,179° 16' W
50° 17' S,179° 40' E
55° 39' S,178° 53' W
62° 10' S,172° W
64° 55' S,163° 20' W
66° 0' S
64° 41' S,155° 44' W
64° 49' S,149° 19' W
64° 48' S
67° 5' S
67° 31' S,142° 54' W
67° 12' S,138° 0' W
67° 20' S,137° 12' W
67° 0' S,138° 15' W
66° 15' S,134° 22' W
65° 53' S,133° 42' W
62° 24' S,42° 19' E
59° 40' S,135° 11' W
58° 39' S
58° 2' S,84° 35' E
56° 46' S,139° 45' W
56° S,140° 31' W
52° 0' S,135° 32' W
50° 49' S
49° 7' S,131° 2' W
48° 17' S,127° 10' W
47° 51' S,122° 12' W
48° 22' S,121° 29' W
50° 5' S,119.5° W
53° 0' S,118° 3' W
56° 4' S,122° 1' W
56° 48' S,119° 8' W
61° 9' S,116° 7' W
62° 34' S,116° 24' W
62° 5' S,112° 24' W
62° 22' S,110° 24' W
63° 20' S,108° 7' W
65° 24' S,109° 31' W
65° 44' S,109° 31' W
66° 20' S,109° 31' W
69° 38' S,108° 12' W
69° 45' S,108° 5' W
70° 23' S,24° 31' E
71° 10' S,106° 54' W
65° 42' S,99° 44' W
50° 14' S,95° 18' W
49° 32' S,95° 11' W
43° 53' S
39° 58' S,94° 37' W
37° 54' S
36° 10' S,94° 56' W
37° 52' S,101° 10' W
38° S,111° W
33° 7' S,102° 33' W
30° 30' S,101° 45' W
29° 44' S,100° 45' W
27° 4' S,103° 58' W
27° 5' 30" S,109° 46' 20" W
19° 20' S,114° 49' W
15° 7' S,119° 45' W
10° 20' S,123° 58' W
9° 24' S
9° 32' S,132° 45' W
9° 20' S,138° 14' W
9° 26' S,138° 50' W
10° 25' S,138° 50' W
9° 55' 30" S,139° 8' 40" W
14° 27' 30" S,144° 56' W
14° 37' S,145° 10' W
15° 26' S,146° 20' W
15° 47' S,170° W
20° S,150° W
16° 46' S,154° 8' W
18° 4' S,163° 10' W
18° 50' S,168° 52, W
19° 1' S,169° 37' W
20° 23' S,174° 6' W
20° 15' S,174° 31' W
15° 53' S
19° 48' S,178° 21' W
20° 20' S,176° 8' E
15° 9' S,171° 16' E
15° 1' 30" S,168° 14' E
